player_id,year_start,year_end,height,weight
24303,2001,2001,5-10,200.0
24304,1991,2001,6-5,210.0
24305,2017,2018,6-11,245.0
24306,2010,2018,6-4,200.0
24307,1990,2001,6-8,205.0
24308,1984,2000,6-7,205.0
24309,1994,1998,6-5,200.0
24310,1993,2003,6-8,240.0
24311,1992,1996,6-9,225.0
24312,2006,2017,6-3,185.0
24313,1990,2001,6-9,210.0
24314,2004,2012,7-0,235.0
24315,2003,2014,6-10,260.0
24316,2017,2018,7-0,250.0
24317,2005,2012,6-5,230.0
24318,1983,1988,6-11,245.0
24319,1989,1989,6-8,245.0
24320,1991,1992,6-3,175.0
24321,1993,1995,6-4,195.0
24322,2013,2013,6-6,200.0
24323,2015,2018,6-7,210.0
24324,2015,2018,6-3,194.0
24325,2011,2012,7-0,240.0
24326,2000,2003,6-11,255.0
24327,1996,1996,6-3,198.0
24328,1997,1999,6-8,220.0
24329,1980,1980,6-8,202.0
24330,2018,2018,6-0,185.0
24331,2011,2016,6-9,200.0
24332,2002,2012,6-5,220.0
24333,1980,1988,6-1,170.0
24334,2003,2015,6-8,245.0
24335,2010,2018,6-6,220.0
24336,2006,2007,6-3,185.0
24338,1986,2002,7-0,240.0
24338,2011,2011,6-8,235.0
24339,2015,2017,6-6,190.0
24340,2011,2012,6-5,210.0
24341,2013,2016,6-11,255.0
24342,2012,2018,6-8,228.0
24343,2007,2017,6-2,180.0
24344,2007,2009,6-5,220.0
24345,1988,1994,6-4,190.0
24346,1998,2000,6-9,244.0
24347,2014,2014,6-11,260.0
24348,2011,2018,6-10,265.0
24349,2008,2008,6-11,235.0
24350,1997,2001,6-9,255.0
24351,1987,1992,6-11,235.0
24352,2017,2018,5-9,176.0
24353,2016,2018,6-10,275.0
24354,2014,2014,6-6,201.0
24355,2006,2006,6-9,225.0
24356,2006,2018,6-1,205.0
24357,2004,2004,6-7,203.0
24358,2018,2018,6-7,184.0
24359,2009,2012,6-6,185.0
24360,1989,1989,7-1,240.0
24361,1989,1999,6-7,209.0
24362,2017,2018,6-0,180.0
24363,1991,2003,6-10,230.0
24364,2008,2012,7-1,288.0
24365,1985,1988,6-5,220.0
24366,2011,2015,6-7,210.0
24367,1996,2010,6-7,215.0
24368,2017,2018,6-8,220.0
24369,1995,1997,6-11,235.0
24370,1997,2014,6-1,200.0
24371,2006,2006,6-3,188.0
24372,2001,2006,6-9,262.0
24373,1985,1996,6-5,185.0
24374,2005,2005,6-2,200.0
24375,1983,1983,6-8,225.0
24376,1983,1995,6-3,170.0
24377,2010,2012,6-0,185.0
24378,2002,2002,6-4,210.0
24379,2012,2012,7-0,265.0
24380,2017,2018,6-3,190.0
24381,2011,2012,6-7,220.0
24382,1994,1995,6-1,190.0
24383,2002,2004,6-9,275.0
24384,2006,2006,6-9,225.0
24385,1996,1996,6-7,210.0
24386,2004,2012,6-0,165.0
24387,2002,2003,6-4,194.0
24388,2012,2012,5-11,185.0
24389,1998,2007,6-7,260.0
24390,1991,2003,6-11,240.0
24391,2000,2012,6-11,236.0
24392,1984,1986,6-1,160.0
24393,2002,2002,6-10,219.0
24394,2013,2018,6-7,205.0
24395,2002,2005,6-8,220.0
24396,2018,2018,6-3,170.0
24397,1992,2004,6-7,230.0
24398,2007,2017,6-4,213.0
24399,1998,2009,6-10,250.0
24400,2004,2008,6-5,210.0
24401,2000,2008,6-3,195.0
24402,1988,1994,6-10,225.0
24403,2014,2015,6-5,191.0
24404,2015,2018,6-1,170.0
24405,1989,1992,6-7,205.0
24406,2012,2016,6-2,195.0
24407,2013,2015,6-10,250.0
24408,2005,2007,6-10,240.0
24409,2006,2018,6-11,255.0
24410,2004,2004,6-9,240.0
24411,1997,2001,6-11,255.0
24412,1981,1981,6-4,180.0
24413,2018,2018,6-4,195.0
24414,1998,2005,6-9,230.0
24415,2003,2012,6-11,240.0
24416,2006,2006,6-9,250.0
24417,1989,1995,6-3,195.0
24418,2004,2006,6-6,205.0
24419,2010,2012,6-1,185.0
24420,1994,1994,6-10,255.0
24421,2009,2018,6-10,225.0
24422,2015,2018,6-2,200.0
24423,1988,1997,6-5,210.0
24424,2007,2008,6-9,245.0
24425,2001,2001,6-9,245.0
24426,2004,2005,6-3,220.0
24427,2006,2015,6-7,195.0
24428,2008,2009,6-5,225.0
