player_id,date_of_birth,city_of_birth,state_of_birth
24063,"January 4, 1962",Ypsilanti,Michigan
24100,"September 27, 1963",Sacramento,California
24108,"December 31, 1962",Columbia,South Carolina
24125,"April 14, 1958",Montreal,Canada
24131,"September 1, 1961",Chicago,Illinois
24528,"September 19, 1959",Newman,Georgia
24529,"October 11, 1964",Newman,Georgia
24539,"December 26, 1958",Washington,District of Columbia
24609,"October 15, 1963",Kansas City,Missouri
24645,"October 5, 1959",Los Angeles,California
24648,"August 16, 1960",Hollis,Oklahoma
24844,"November 7, 1962",Tuskegee,Alabama
24844,"February 1, 1978",Tuskegee,Alabama
24909,"October 31, 1957",Cap-Haitian,Haiti
24920,"September 18, 1963",New Orleans,Louisiana
24959,"January 4, 1962",Colorado Springs,Colorado
24967,"May 17, 1963",Cedar Rapids,Iowa
25027,"December 28, 1962",West Memphis,Arkansas
25133,"August 16, 1962",Washington,District of Columbia
25135,"August 18, 1962",Fort Smith,Arkansas
25174,"February 7, 1963",Worcester,Massachusetts
25188,"June 4, 1963",Columbia,South Carolina
25191,"July 20, 1962",Torrance,California
25217,"July 15, 1961",Fresno,California
25259,"January 17, 1961",Lexington,Kentucky
25305,"November 11, 1958",Tucson,Arizona
25409,"December 18, 1963",Cleveland,Ohio
25508,"October 3, 1961",Vicksburg,Mississippi
25515,"March 27, 1963",Bronx,New York
25539,"April 8, 1963",Milwaukee,Wisconsin
25591,"November 13, 1962",Auburn,Washington
25614,"December 23, 1962",Brooklyn,New York
25681,"June 21, 1959",Brookhaven,New York
25735,"January 21, 1963",Leverkusen,Germany
25745,"December 4, 1962",Brooklyn,New York
25845,"August 31, 1962",Welland,Canada
25884,"November 29, 1962",Lincoln,Nebraska
25889,"August 5, 1963",New Haven,Connecticut
25990,"July 10, 1962",Los Angeles,California
25997,"June 9, 1964",Tulsa,Oklahoma
26003,"April 13, 1962",Columbus,Mississippi
26053,"April 13, 1963",San Mateo,California
26070,"May 18, 1963",Lansing,Michigan
26129,"July 13, 1963",Dallas,Texas
26140,"April 26, 1963",Montreal,Canada
26185,"September 11, 1963",Atlanta,Georgia
26225,"March 10, 1965",Harbor City,California
26259,"October 12, 1962",Chicago,Illinois
23627,"July 22, 1964",Jersey City,New Jersey
23638,"December 11, 1963",Phoenix,Arizona
23788,"December 14, 1963",Memphis,Tennessee
23809,"May 14, 1964",New York,New York
23817,"March 26, 1961",Rochester,New York
23890,"November 17, 1963",Washington,District of Columbia
23932,"July 19, 1963",Newark,New Jersey
24066,"November 14, 1961",Minneapolis,Minnesota
24145,"June 25, 1964",Harrisonburg,Virginia
24163,"October 19, 1965",Black Mountain,North Carolina
24188,"September 28, 1963",Washington,District of Columbia
24242,"April 9, 1964",Quincy,Illinois
24251,"November 7, 1962",Wichita,Kansas
24260,"April 1, 1964",Harvey,Illinois
24351,"June 8, 1962",Butler,Pennsylvania
24446,"May 23, 1964",Wilmington,North Carolina
24481,"January 19, 1963",Boulder,Colorado
24594,"January 20, 1964",Dayton,Ohio
24640,"October 3, 1965",Marietta,Georgia
24640,"March 11, 1975",Marietta,Georgia
24646,"March 22, 1964",Baltimore,Maryland
24649,"July 21, 1963",Claremont,California
24703,"May 3, 1963",Elmhurst,Illinois
24772,"May 6, 1964",Hamburg,Arkansas
24823,"January 3, 1964",Birmingham,Alabama
24854,"November 4, 1962",Clairton,Pennsylvania
24865,"September 13, 1962",Washington,District of Columbia
24925,"January 25, 1964",Jamaica,New York
24955,"January 30, 1964",Cape Coral,Florida
24978,"September 23, 1964",Missoula,Montana
24995,"July 2, 1960",Harrisburg,Pennsylvania
25144,"July 2, 1964",Liberty,New York
25206,"February 16, 1963",Camden,New Jersey
25214,"August 3, 1964",Raleigh,North Carolina
25219,"January 18, 1962",Paris,France
25338,"September 15, 1963",Mobile,Alabama
25371,"November 28, 1963",Danville,Virginia
25395,"March 25, 1963",Little Rock,Arkansas
25499,"June 27, 1964",Brantley,Alabama
25530,"March 2, 1963",Los Angeles,California
25558,"February 15, 1964",Bartlesville,Oklahoma
25665,"December 30, 1963",Fullerton,California
25679,"April 23, 1962",New Brighton,Pennsylvania
25704,"May 16, 1964",Brooklyn,New York
25752,"December 17, 1962",Warrensville Heights,Ohio
25794,"October 29, 1961",Memphis,Tennessee
25797,"March 5, 1964",LaPorte,Indiana
25812,"January 19, 1964",Cleveland,Ohio
25827,"March 9, 1964",Queens,New York
25836,"January 30, 1964",Jacksonville,Florida
25927,"November 28, 1964",New York,New York
25976,"December 1, 1963",Camden,New Jersey
26025,"December 13, 1964",Memphis,Tennessee
26095,"August 18, 1964",Roberta,Georgia
26114,"May 13, 1965",Hickory,North Carolina
26118,"January 6, 1964",Brooklyn,New York
26210,"October 26, 1966",New Haven,Connecticut
26254,"December 15, 1963",Baltimore,Maryland
26282,"March 26, 1962",Hollywood,California
26304,"August 4, 1963",Baltimore,Maryland
23621,"November 15, 1962",Inglewood,California
23649,"November 23, 1964",Franklin,Indiana
23675,"June 22, 1964",Houston,Texas
23705,"July 20, 1965",Rochester,New York
23714,"February 28, 1966",Memphis,Tennessee
23830,"February 15, 1965",Philadelphia,Pennsylvania
23848,"January 9, 1965",Baltimore,Maryland
24068,"September 27, 1961",Jacksonville,Florida
24086,"August 17, 1964",Philadelphia,Pennsylvania
24127,"June 20, 1965",Bakersfield,California
24236,"May 30, 1965",Rockville Centre,New York
24261,"February 22, 1965",Harrisburg,Pennsylvania
24345,"September 23, 1964",Dothan,Alabama
24402,"April 26, 1965",Gary,Indiana
24423,"November 13, 1965",Springfield,Illinois
24431,"December 19, 1964",Gary,Indiana
24468,"May 28, 1964",Pittsburgh,Pennsylvania
24507,"July 4, 1965",Augusta,Georgia
24641,"July 21, 1964",Henderson,North Carolina
24697,"March 13, 1964",Omaha,Nebraska
24698,"April 22, 1965",Toledo,Ohio
24724,"May 26, 1960",Greenville,Mississippi
24770,"April 1, 1965",Brooklyn,New York
24771,"July 13, 1964",Washington,District of Columbia
24842,"June 24, 1965",Cincinnati,Ohio
24845,"March 4, 1966",Tuskegee,Alabama
24966,"March 24, 1964",Omaha,Nebraska
25048,"March 28, 1963",Philadelphia,Pennsylvania
25050,"November 21, 1965",Baltimore,Maryland
25066,"September 29, 1964",New Ulm,Minnesota
25207,"October 10, 1966",Meridian,Mississippi
25281,"July 2, 1964",Chicago,Illinois
25286,"January 16, 1962",New York,New York
25325,"July 29, 1964",Dover,Delaware
25326,"December 24, 1963",Long Beach,California
25364,"February 16, 1965",Columbus,Ohio
25386,"September 5, 1964",Chicago,Illinois
25532,"November 21, 1964",Port-au-Prince,Haiti
25610,"February 16, 1964",Riviera Beach,Florida
25678,"June 3, 1963",Cleveland,Ohio
25682,"October 23, 1965",Newark,New Jersey
25828,"March 8, 1965",Queens,New York
25901,"July 24, 1958",Bremerton,Washington
26085,"October 15, 1965",Torrance,California
26088,"February 20, 1963",Camden,New Jersey
26102,"November 20, 1964",South Boston,Virginia
26116,"August 31, 1964",Eschwege,Germany
26138,"January 2, 1964",Delmenhorst,Germany
26153,"October 27, 1959",Neptune,New Jersey
26157,"December 30, 1965",San Francisco,California
26165,"February 15, 1965",Charlotte,North Carolina
26227,"March 5, 1964",Baltimore,Maryland
26227,"September 14, 1986",Baltimore,Maryland
26248,"February 25, 1964",Pineville,Louisiana
26250,"July 16, 1964",Louisville,Kentucky
26257,"July 26, 1964",Houston,Texas
26263,"December 17, 1964",Kohler,Wisconsin
26313,"April 13, 1964",Seattle,Washington
23655,"January 26, 1965",Milton,Florida
