,player_id,player,year,round,pick,position,school,last name,first name
1997,,Stanley Robinson,2010,2,59,SF,Connecticut,Robinson,Stanley
1998,,Dwayne Collins,2010,2,60,PF,Miami,Collins,Dwayne
1999,,Jonas ValanÄiÅ«nas,2011,1,5,C,Lietuvos rytas Vilnius,ValanÄiÅ«nas,Jonas
2000,,Jan VeselÃ½,2011,1,6,PF,Partizan Belgrade,VeselÃ½,Jan
2001,,Nikola VuÄeviÄ‡,2011,1,16,C,USC,VuÄeviÄ‡,Nikola
2002,,Donatas MotiejÅ«nas,2011,1,20,PF,Benetton Treviso,MotiejÅ«nas,Donatas
2003,,Nikola MirotiÄ‡,2011,1,23,PF,Real Madrid,MirotiÄ‡,Nikola
2004,,Bojan BogdanoviÄ‡,2011,2,31,SF/SG,Cibona Zagreb,BogdanoviÄ‡,Bojan
2005,,DÄvis BertÄns,2011,2,42,SF,Union Olimpija,BertÄns,DÄvis
2006,,Jon Diebler,2011,2,51,SG,Ohio State,Diebler,Jon
2007,,Milan Macvan,2011,2,54,PF,Maccabi Tel Aviv,Macvan,Milan
2008,,Etwaun Moore,2011,2,55,SG,Purdue,Moore,Etwaun
2009,,Chukwudiebere Maduabum,2011,2,56,PF,Bakersfield Jam,Maduabum,Chukwudiebere
2010,,Tanguy Ngombo,2011,2,57,SF,Al Rayyan,Ngombo,Tanguy
2011,,Ater Majok,2011,2,58,PF,Gold Coast Blaze,Majok,Ater
2012,,ÃdÃ¡m Hanga,2011,2,59,SG,Albacomp,Hanga,ÃdÃ¡m
2013,,Perry Jones III,2012,1,28,SF,Baylor,Jones III,Perry
2014,,TomÃ¡Å¡ SatoranskÃ½,2012,2,32,SG,Banca CÃ­vica Sevilla,SatoranskÃ½,TomÃ¡Å¡
2015,,Izzet Turkyilmaz,2012,2,50,PF,Banvit,Turkyilmaz,Izzet
2016,,Ognjen KuzmiÄ‡,2012,2,52,C,Clinicas RincÃ³n,KuzmiÄ‡,Ognjen
2017,,Tomislav ZubÄiÄ‡,2012,2,56,PF,Cibona Zagreb,ZubÄiÄ‡,Tomislav
2018,,Ä°lkan Karaman,2012,2,57,PF,PÄ±nar KarÅŸÄ±yaka,Karaman,Ä°lkan
2019,,Marcus Denmon,2012,2,59,PG,Missouri,Denmon,Marcus
2020,,C. J. McCollum,2013,1,10,SG,Lehigh,McCollum,C. J.
2021,,Dennis SchrÃ¶der,2013,1,17,PG,Phantoms Braunschweig,SchrÃ¶der,Dennis
2022,,Tim Hardaway Jr.,2013,1,24,SG,Michigan,Hardaway Jr.,Tim
2023,,AndrÃ© Roberson,2013,1,26,SG/SF,Colorado,Roberson,AndrÃ©
2024,,Livio Jean-Charles,2013,1,28,SF,ASVEL Basket,Jean-Charles,Livio
2025,,Nemanja NedoviÄ‡,2013,1,30,PG,Lietuvos Rytas,NedoviÄ‡,Nemanja
2026,,Ãlex Abrines,2013,2,32,SG/SF,FC Barcelona,Abrines,Ãlex
2027,,Glen Rice Jr.,2013,2,35,SG,Rio Grande Valley Vipers,Rice Jr.,Glen
2028,,Ray McCallum Jr.,2013,2,36,PG,Detroit,McCallum Jr.,Ray
2029,,Marko TodoroviÄ‡,2013,2,45,PF/C,FC Barcelona,TodoroviÄ‡,Marko
2030,,Romero Osby,2013,2,51,PF,Oklahoma,Osby,Romero
2031,,Colton Iverson,2013,2,53,C,Colorado State,Iverson,Colton
2032,,Arsalan Kazemi,2013,2,54,PF,Oregon,Kazemi,Arsalan
2033,,Alex Oriakhi,2013,2,57,C,Missouri,Oriakhi,Alex
2034,,Deshaun Thomas,2013,2,58,SF,Ohio State,Thomas,Deshaun
2035,,Bojan DubljeviÄ‡,2013,2,59,PF,Valencia Basket,DubljeviÄ‡,Bojan
2036,,JÄnis Timma,2013,2,60,SF,BK Ventspils,Timma,JÄnis
2037,,T. J. Warren,2014,1,14,SF,North Carolina State,Warren,T. J.
2038,,Jusuf NurkiÄ‡,2014,1,16,C,Cedevita Zagreb,NurkiÄ‡,Jusuf
2039,,P. J. Hairston,2014,1,26,SG,Texas Legends,Hairston,P. J.
2040,,Bogdan BogdanoviÄ‡,2014,1,27,SG,Partizan Belgrade,BogdanoviÄ‡,Bogdan
2041,,C. J. Wilcox,2014,1,28,SG,Washington,Wilcox,C. J.
2042,,K. J. McDaniels,2014,2,32,SF,Clemson,McDaniels,K. J.
2043,,Johnny O'Bryant III,2014,2,36,PF,Louisiana State,O'Bryant III,Johnny
2044,,DeAndre Daniels,2014,2,37,SF,Connecticut,Daniels,DeAndre
2045,,Glenn Robinson III,2014,2,40,SF,Michigan,Robinson III,Glenn
2046,,Nikola JokiÄ‡,2014,2,41,PF/C,Mega Vizura,JokiÄ‡,Nikola
2047,,Walter Tavares,2014,2,43,C,CB Gran Canaria,Tavares,Walter
2048,,Alec Brown,2014,2,50,C,Green Bay,Brown,Alec
2049,,Vasilije MiciÄ‡,2014,2,52,PG,Mega Vizura,MiciÄ‡,Vasilije
2050,,Alessandro Gentile,2014,2,53,SF,Olimpia Milano,Gentile,Alessandro
2051,,Nemanja DangubiÄ‡,2014,2,54,SG,Mega Vizura,DangubiÄ‡,Nemanja
2052,,Louis Labeyrie,2014,2,57,PF/C,Paris-Levallois Basket,Labeyrie,Louis
2053,,Xavier Thames,2014,2,59,PG/SG,San Diego State,Thames,Xavier
2054,,Kristaps PorziÅ†Ä£is,2015,1,4,PF/C,Baloncesto Sevilla,PorziÅ†Ä£is,Kristaps
2055,,Kelly Oubre Jr.,2015,1,15,SG,Kansas,Oubre Jr.,Kelly
2056,,Nikola Milutinov,2015,1,26,C,Partizan Belgrade,Milutinov,Nikola
2057,,Larry Nance Jr.,2015,1,27,PF,Wyoming,Nance Jr.,Larry
2058,,R. J. Hunter,2015,1,28,SG,Georgia State,Hunter,R. J.
2059,,Willy HernangÃ³mez,2015,2,35,C,Baloncesto Sevilla,HernangÃ³mez,Willy
2060,,Juan Pablo Vaulet,2015,2,39,SF,Estudiantes de BahÃ­a,Vaulet,Juan Pablo
2061,,Olivier Hanlan,2015,2,42,PG,Boston College,Hanlan,Olivier
2062,,Joseph Young,2015,2,43,PG,Oregon,Young,Joseph
2063,,ArtÅ«ras Gudaitis,2015,2,47,C,Å½algiris Kaunas,Gudaitis,ArtÅ«ras
2064,,Aaron White,2015,2,49,PF,Iowa,White,Aaron
2065,,Marcus Eriksson,2015,2,50,SG,FC Barcelona,Eriksson,Marcus
2066,,Tyler Harvey,2015,2,51,PG,Eastern Washington,Harvey,Tyler
2067,,Satnam Singh Bhamara,2015,2,52,C,IMG Academy,Bhamara,Satnam Singh
2068,,Sir'Dominic Pointer,2015,2,53,SF,St. John's,Pointer,Sir'Dominic
2069,,Dani DÃ­ez,2015,2,54,SF,Gipuzkoa Basket,DÃ­ez,Dani
2070,,Cady Lalanne,2015,2,55,PF,Massachusetts,Lalanne,Cady
2071,,Nikola RadiÄeviÄ‡,2015,2,57,PG,Baloncesto Sevilla,RadiÄeviÄ‡,Nikola
2072,,J. P. Tokoto,2015,2,58,SG/SF,North Carolina,Tokoto,J. P.
2073,,Dimitrios Agravanis,2015,2,59,PF,Olympiacos,Agravanis,Dimitrios
2074,,Luka MitroviÄ‡,2015,2,60,PF,Red Star Belgrade,MitroviÄ‡,Luka
2075,,Taurean Prince,2016,1,12,PF,Baylor,Prince,Taurean
2076,,Juan HernangÃ³mez,2016,1,15,SF/PF,Movistar Estudiantes,HernangÃ³mez,Juan
2077,,Wade Baldwin IV,2016,1,17,PG,Vanderbilt,Baldwin IV,Wade
2078,,Ante Å½iÅ¾iÄ‡,2016,1,23,C,KK Cibona,Å½iÅ¾iÄ‡,Ante
2079,,TimothÃ© Luwawu-Cabarrot,2016,1,24,SG/SF,Mega Leks,Luwawu-Cabarrot,TimothÃ©
2080,,Skal LabissiÃ¨re,2016,1,28,PF/C,Kentucky,LabissiÃ¨re,Skal
2081,,Rade Zagorac,2016,2,35,SG/SF,Mega Leks,Zagorac,Rade
2082,,David Michineau,2016,2,39,PG,Elan !,Michineau,David
2083,,Isaia Cordinier,2016,2,44,SG,ASC Denain-Voltaire,Cordinier,Isaia
2084,,A. J. Hammons,2016,2,46,C,Purdue,Hammons,A. J.
2085,,Petr Cornelie,2016,2,53,PF,Le Mans Sarthe,Cornelie,Petr
2086,,Wang Zhelin,2016,2,57,C,Fujian Sturgeons,Zhelin,Wang
2087,,Isaiah Cousins,2016,2,59,PG/SG,Oklahoma,Cousins,Isaiah
2088,,Tyrone Wallace,2016,2,60,PG,California,Wallace,Tyrone
2089,,Dennis Smith Jr.,2017,1,9,PG,NC State,Smith Jr.,Dennis
2090,,Justin Patton,2017,1,16,C,Creighton,Patton,Justin
2091,,D. J. Wilson,2017,1,17,PF/SF,Michigan,Wilson,D. J.
2092,,T. J. Leaf,2017,1,18,PF,UCLA,Leaf,T. J.
2093,,Harry Giles,2017,1,20,PF/C,Duke,Giles,Harry
2094,,AnÅ¾ejs PaseÄÅ†iks,2017,1,25,C,Herbalife Gran Canaria,PaseÄÅ†iks,AnÅ¾ejs
2095,,Frank Jackson,2017,2,31,PG,Duke,Jackson,Frank
2096,,Davon Reed,2017,2,32,SG,Miami,Reed,Davon
2097,,Wes Iwundu,2017,2,33,SF,Kansas State,Iwundu,Wes
2098,,Frank Mason III,2017,2,34,PG,Kansas,Mason III,Frank
2099,,Jonah Bolden,2017,2,36,PF,FMP Beograd,Bolden,Jonah
2100,,Isaiah Hartenstein,2017,2,43,PF/C,Å½algiris Kaunas,Hartenstein,Isaiah
2101,,Vlatko ÄŒanÄar,2017,2,49,SF,Mega Leks,ÄŒanÄar,Vlatko
2102,,Mathias Lessort,2017,2,50,PF/C,Nanterre 92,Lessort,Mathias
2103,,MontÃ© Morris,2017,2,51,PG,Iowa State,Morris,MontÃ©
2104,,Edmond Sumner,2017,2,52,PG,Xavier,Sumner,Edmond
2105,,Nigel Williams-Goss,2017,2,55,PG,Gonzaga,Williams-Goss,Nigel
2106,,Sasha Vezenkov,2017,2,57,PF,FC Barcelona Lassa,Vezenkov,Sasha
2107,,Ognjen Jaramaz,2017,2,58,PG,Mega Leks,Jaramaz,Ognjen
2108,,Jaron Blossomgame,2017,2,59,SF,Clemson,Blossomgame,Jaron
2109,,Alpha Kaba,2017,2,60,PF/C,Mega Leks,Kaba,Alpha
2110,,DeAndre Ayton,2018,1,1,C,Arizona,Ayton,DeAndre
2111,,Jaren Jackson Jr.,2018,1,2,PF,Michigan St.,Jackson Jr.,Jaren
2112,,Michael Porter,2018,1,3,SF,Missouri,Porter,Michael
2113,,Marvin Bagley,2018,1,4,PF,Duke,Bagley,Marvin
2114,,Luka Doncic,2018,1,5,SG/SF,Slovenia,Doncic,Luka
2115,,Wendell Carter,2018,1,6,PF/C,Duke,Carter,Wendell
2116,,Trae Young,2018,1,7,PG,Oklahoma,Young,Trae
2117,,Mohamed Bamba,2018,1,8,C,Texas,Bamba,Mohamed
2118,,Collin Sexton,2018,1,9,PG,Alabama,Sexton,Collin
2119,,Kevin Knox,2018,1,10,SF/PF,Kentucky,Knox,Kevin
2120,,Mikal Bridges,2018,1,11,SG/SF,Villanova,Bridges,Mikal
2121,,Miles Bridges,2018,1,12,SF/PF,Michigan St.,Bridges,Miles
2122,,Shai Gilgeous-Al...,2018,1,13,PG,Kentucky,Gilgeous-Al...,Shai
2123,,Robert Williams,2018,1,14,PF/C,Texas A&M,Williams,Robert
2124,,Gary Trent Jr.,2018,1,15,SG,Duke,Trent Jr.,Gary
2125,,Lonnie Walker,2018,1,16,SG,Miami,Walker,Lonnie
2126,,Dzanan Musa,2018,1,17,SF,Bosnia & Herz,Musa,Dzanan
2127,,Hamidou Diallo,2018,1,18,SG,Kentucky,Diallo,Hamidou
2128,,Khyri Thomas,2018,1,19,PG/SG,Creighton,Thomas,Khyri
2129,,Mitchell Robinson,2018,1,20,C,USA,Robinson,Mitchell
2130,,Trevon Duval,2018,1,21,PG,Duke,Duval,Trevon
2131,,Grayson Allen,2018,1,22,SG,Duke,Allen,Grayson
2132,,Chimezie Metu,2018,1,23,PF/C,USC,Metu,Chimezie
2133,,Landry Shamet,2018,1,24,PG/SG,Wichita State,Shamet,Landry
2134,,Brandon McCoy,2018,1,25,C,UNLV,McCoy,Brandon
2135,,Omer Yurtseven,2018,1,27,C,NC State,Yurtseven,Omer
2136,,Austin Wiley,2018,1,28,C,Auburn,Wiley,Austin
2137,,Tony Carr,2018,1,29,PG,Penn State,Carr,Tony
2138,,Moritz Wagner,2018,1,30,PF,Michigan,Wagner,Moritz
2139,,Rodions Kurucs,2018,2,31,SF,Latvia,Kurucs,Rodions
2140,,Bruce Brown,2018,2,32,SG,Miami,Brown,Bruce
2141,,Kerwin Roach,2018,2,33,PG/SG,Texas,Roach,Kerwin
2142,,Isaac Bonga,2018,2,34,SF,Germany,Bonga,Isaac
2143,,Robert Franks,2018,2,35,SF/PF,Washington State,Franks,Robert
2144,,Chandler Hutchison,2018,2,36,SG/SF,Boise State,Hutchison,Chandler
2145,,Kenrich Williams,2018,2,37,SF,TCU,Williams,Kenrich
2146,,Keita Bates-Diop,2018,2,38,SF,Ohio State,Bates-Diop,Keita
