,Player,Career Start,Career End,Col Games Played,Col MP,Col FG,Col FGA,Col 2P,Col 2PA,Col 3P,Col 3PA,Col FT,Col FTA,Col ORB,Col DRB,Col TRB,Col AST,Col STL,Col BLK,Col TOV,Col PTS,player_id
130,Elliot Williams,2009,2010,34,1133,178,388,118,224,60,164,194,256,25,110,135,128,45,4,100,610,13470
131,Elston Turner,2012,2013,32,1139,199,467,125,262,74,205,89,105,14,82,96,74,31,7,59,561,13183
132,Emeka Okafor,2003,2004,36,1166,261,436,261,436,0,0,113,218,138,277,415,36,36,147,84,635,12133
133,Eric Gordon,2007,2008,32,1110,184,425,114,217,70,208,231,277,23,81,104,78,42,20,115,669,10555
134,Eric Maynor,2007,2009,66,2321,444,963,328,653,116,310,329,415,40,216,256,385,98,13,197,1333,11692
135,Eric Williams,2005,2006,34,1107,223,360,223,360,0,0,109,221,107,194,301,34,44,37,77,555,13471
136,Erick Green,2012,2013,32,1166,261,550,200,393,61,157,218,267,15,112,127,121,42,6,69,801,10605
137,Evan Turner,2008,2010,64,2310,430,841,399,761,31,80,313,405,118,400,518,316,112,55,253,1204,13184
138,Francisco Garcia,2004,2005,38,1211,187,428,116,234,71,194,150,171,45,113,158,148,65,56,104,595,10457
139,Frank Kaminsky,2014,2015,39,1311,267,488,225,387,42,101,156,200,58,262,320,103,33,57,63,732,11236
140,Frank Mason,2016,2017,36,1301,241,492,159,318,82,174,189,238,22,128,150,187,47,2,86,753,11671
141,Frank Williams,2001,2002,35,1135,174,443,120,284,54,159,164,203,32,131,163,153,71,10,96,566,13473
142,Fred Jones,2001,2002,35,1103,215,413,164,276,51,137,169,194,65,124,189,111,63,18,82,650,11182
143,Gary Forbes,2007,2008,36,1214,233,572,176,377,57,195,175,243,65,205,270,109,41,25,113,698,10370
144,Gary Harris,2013,2014,35,1131,195,455,114,225,81,230,115,142,37,103,140,94,63,15,60,586,10758
145,Gary Neal,2002,2007,61,2097,436,1022,257,514,179,508,299,361,62,195,257,158,64,6,137,1350,12025
146,George Hill,2005,2008,61,2198,395,742,330,583,65,159,381,473,111,278,389,242,106,22,174,1236,10869
147,Georges Niang,2013,2016,69,2187,505,986,401,696,104,290,171,223,80,290,370,240,52,43,174,1285,12054
148,Gerald Brown,2006,2008,62,2055,383,918,258,558,125,360,365,474,85,218,303,141,106,18,215,1256,9595
149,Gerald Henderson,2008,2009,37,1098,213,473,172,351,41,122,143,188,46,137,183,91,46,28,80,610,10818
150,Gerald Henderson,2008,2009,37,1098,213,473,172,351,41,122,143,188,46,137,183,91,46,28,80,610,10819
151,Gian Clavell,2016,2017,27,987,193,449,115,247,78,202,88,127,37,133,170,47,53,20,53,552,9817
152,Gilbert Arenas,2000,2001,36,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,582,9220
153,Glen Davis,2005,2006,36,1144,250,505,244,482,6,23,163,241,145,205,350,50,47,41,96,669,10018
154,Gordon Hayward,2009,2010,37,1239,173,373,126,213,47,160,179,216,72,233,305,62,40,30,85,572,10800
155,Greg Monroe,2009,2010,34,1164,202,385,195,358,7,27,138,209,74,254,328,128,42,52,112,549,11906
156,Greivis Vasquez,2007,2010,102,3588,637,1512,438,911,199,601,364,436,106,429,535,615,152,34,358,1837,13236
157,Guillermo Diaz,2004,2006,63,2192,384,884,245,502,139,382,217,289,48,178,226,173,83,16,137,1124,10091
158,Hakim Warrick,2003,2005,65,2431,475,896,466,859,9,37,382,557,204,356,560,132,62,62,181,1341,13327
159,Harrison Barnes,2010,2012,75,2198,438,1018,322,686,116,332,234,319,149,265,414,96,68,29,146,1226,9301
160,Hassan Adams,2005,2006,31,1031,234,490,217,425,17,65,58,95,67,88,155,90,82,14,69,543,9119
161,Henry Ellenson,2015,2016,33,1107,194,435,164,331,30,104,143,191,71,250,321,59,28,49,78,561,10239
162,Ian Clark,2012,2013,33,1102,217,400,115,178,102,222,65,78,12,96,108,79,53,8,88,601,9812
163,Ike Diogu,2002,2005,91,3190,617,1080,576,974,41,106,671,854,306,496,802,113,39,153,305,1946,10115
164,Isaiah Canaan,2011,2013,64,2243,402,899,210,430,192,469,306,369,46,178,224,253,92,6,187,1302,9713
165,Isaiah Thomas,2008,2011,105,3197,554,1301,390,796,164,505,449,630,70,296,366,415,122,7,279,1721,13079
166,Isaiah Whitehead,2015,2016,34,1098,194,512,113,290,81,222,149,196,18,104,122,173,40,49,119,618,13416
167,J.J. Barea,2003,2006,85,2860,622,1545,415,902,207,643,362,478,73,279,352,612,134,0,347,1813,9294
168,J.J. Redick,2003,2006,106,3719,676,1545,314,657,362,888,560,615,47,247,294,239,114,7,242,2274,12438
169,J.R. Bremer,2001,2002,30,1140,231,560,143,294,88,266,188,234,40,100,140,92,56,2,91,738,9547
170,J.R. Giddens,2007,2008,33,1063,210,407,185,332,25,75,92,157,57,233,290,103,47,39,73,537,10514
171,JaJuan Johnson,2009,2011,69,2296,449,899,434,844,15,55,327,429,164,377,541,59,60,151,119,1240,11122
172,Jabari Brown,2013,2014,35,1295,203,435,123,240,80,195,212,266,17,138,155,67,22,5,82,698,9597
173,Jabari Parker,2013,2014,35,1074,236,499,198,393,38,106,160,214,105,201,306,41,37,43,81,670,12205
174,Jacob Pullen,2009,2011,68,2180,392,928,208,456,184,472,373,467,36,150,186,240,116,6,188,1341,12380
175,Jacob Wiley,2016,2017,34,1165,265,412,260,405,5,7,159,192,95,214,309,80,26,94,128,694,13436
