player_id,age,year,team,position_played,minutes_played,points_scored,two_points_scored,three_points_scored,free_throws_made,assists,steals,blocks,turnovers,field_goal_percentage
24172,30,1989,CHI,SF,545,185,77,4,0.0,31,11,5,22,0.426
24172,31,1990,CHI,SF,429,130,51,7,0.0,18,10,8,20,0.36700000000000005
24213,23,1982,KCK,PF,607,150,62,0,0.0,42,35,8,35,0.512
24213,24,1983,KCK,PF,224,28,11,0,0.0,6,16,1,5,0.324
24213,25,1984,DEN,PF,413,90,33,3,0.0,45,23,8,29,0.364
24226,23,1982,CLE,PG,221,73,29,0,0.0,34,8,2,17,0.36700000000000005
24243,25,1982,SDC,SG,1031,447,163,18,0.0,146,48,9,92,0.465
24243,26,1983,SDC,SG,12,5,0,1,0.0,1,0,0,0,0.16699999999999998
24277,22,1982,PHO,SF,103,43,15,2,0.0,15,2,0,7,0.45899999999999996
24295,22,1982,PHI,PG,291,150,65,0,0.0,45,16,5,24,0.433
24295,23,1983,PHI,PG,1266,542,228,0,0.0,221,81,6,110,0.47200000000000003
24295,24,1984,PHI,PG,654,202,84,0,0.0,90,31,5,46,0.38
24295,25,1985,LAC,PG,198,91,36,0,0.0,38,17,0,17,0.545
24295,26,1986,LAC,PG,1491,657,261,1,0.0,259,89,4,137,0.45399999999999996
24295,27,1987,SAC,PG,122,28,9,0,0.0,29,5,0,17,0.281
24295,28,1988,SAC,PG,414,132,54,0,0.0,92,10,1,47,0.47
24548,23,1982,POR,C,845,219,82,1,0.0,59,13,30,73,0.5
24548,27,1986,LAL,C,128,58,20,0,1.0,3,3,4,11,0.541
24548,29,1988,SAS,C,1017,395,139,0,1.0,86,18,61,103,0.496
24548,30,1989,SAS,C,70,21,9,0,0.0,5,1,1,8,0.36
24556,26,1982,DET,PG,25,7,3,0,0.0,8,3,0,1,0.429
24631,26,1982,TOT,C,487,140,54,0,0.0,28,4,20,19,0.486
24631,26,1982,SAS,C,75,23,8,0,1.0,4,1,2,2,0.444
24631,26,1982,DET,C,412,117,46,0,0.0,24,3,18,17,0.495
24631,27,1983,CLE,C,1058,237,104,0,0.0,36,17,41,49,0.479
24631,28,1984,SEA,C,253,57,26,0,0.0,13,5,18,13,0.52
24631,29,1985,PHI,C,101,22,10,0,0.0,1,1,4,2,0.556
24631,30,1986,UTA,C,397,89,39,0,0.0,7,5,19,16,0.44799999999999995
24780,22,1982,TOT,SG,478,196,79,0,0.0,27,14,3,24,0.45899999999999996
24780,22,1982,BOS,SG,66,26,10,0,0.0,5,3,0,6,0.385
24780,22,1982,CHI,SG,412,170,69,0,0.0,22,11,3,18,0.473
24780,23,1983,CHI,SG,1309,492,197,2,0.0,105,64,11,83,0.467
24780,24,1984,IND,SG,10,6,1,0,1.0,0,0,0,1,0.25
24828,25,1982,LAL,SG,65,25,11,0,0.0,7,3,3,7,0.55
24828,26,1983,LAL,SG,447,144,53,0,0.0,24,22,4,25,0.39299999999999996
24828,27,1984,SEA,SG,176,55,19,1,0.0,14,8,2,12,0.4
24837,23,1982,WSB,PG,2027,842,319,17,0.0,380,76,7,160,0.414
24837,24,1983,WSB,PG,2324,852,307,14,0.0,549,110,6,238,0.408
24837,25,1984,WSB,PG,2686,982,381,11,0.0,567,96,6,191,0.467
24837,26,1985,WSB,PG,925,428,169,6,0.0,143,43,3,59,0.489
24837,27,1986,WSB,PG,402,176,69,0,0.0,76,11,1,29,0.44799999999999995
24837,28,1987,WSB,PG,399,153,59,0,0.0,58,21,0,31,0.461
24837,29,1988,WSB,PG,1258,554,215,1,0.0,188,70,4,99,0.434
24837,30,1989,HOU,PG,879,294,108,1,0.0,181,42,0,102,0.44299999999999995
24837,34,1993,PHO,PG,1122,332,135,1,0.0,186,60,8,80,0.436
24837,35,1994,PHO,PG,875,324,132,2,0.0,148,41,1,65,0.44799999999999995
24855,24,1982,KCK,C,1741,1002,395,0,1.0,91,39,89,197,0.613
24855,25,1983,KCK,C,1544,928,371,0,1.0,95,40,83,180,0.624
24855,26,1984,TOT,C,1487,769,302,0,1.0,81,37,69,164,0.5589999999999999
24855,26,1984,KCK,C,893,479,189,0,1.0,63,22,48,105,0.5529999999999999
24855,26,1984,CHI,C,594,290,113,0,1.0,18,15,21,59,0.5710000000000001
24855,27,1985,CHI,C,1659,743,281,0,0.0,64,37,62,151,0.545
24855,28,1986,SAS,C,1828,983,362,0,1.0,95,44,66,191,0.632
24855,29,1987,POR,C,2345,1330,494,0,1.0,155,49,76,276,0.556
24855,30,1988,POR,C,1050,662,258,0,1.0,57,17,32,122,0.529
24855,31,1989,POR,C,1477,721,296,0,0.0,105,20,44,140,0.524
24855,32,1990,TOT,C,259,117,48,0,0.0,17,3,5,31,0.522
24855,32,1990,MIN,C,17,0,0,0,0.0,1,0,0,6,0.0
24855,32,1990,SEA,C,242,117,48,0,0.0,16,3,5,25,0.5329999999999999
24855,33,1991,GSW,C,228,90,34,0,1.0,17,4,4,25,0.54
24944,22,1982,NJN,SF,1694,918,388,3,0.0,142,64,36,180,0.48200000000000004
24944,23,1983,NJN,SF,2447,1346,576,6,0.0,291,95,41,245,0.475
24944,24,1984,NJN,SF,2103,1165,462,3,0.0,203,91,33,208,0.49200000000000005
24944,25,1985,NJN,SF,860,537,226,0,0.0,58,41,9,65,0.491
24944,26,1986,NJN,SF,1998,1047,434,4,0.0,181,58,24,181,0.456
24944,27,1987,NJN,SF,1291,582,231,13,0.0,103,34,28,103,0.426
24944,28,1988,PHI,SF,1593,517,194,17,0.0,109,39,18,93,0.391
24944,29,1989,SAS,SF,791,327,133,8,0.0,79,27,7,74,0.431
24944,32,1992,WSB,SF,59,31,9,2,0.0,5,3,0,2,0.36700000000000005
24993,22,1982,POR,SF,617,250,100,0,0.0,28,16,1,45,0.51
24993,23,1983,POR,SF,690,257,106,1,0.0,58,20,3,38,0.425
24993,24,1984,POR,SF,660,318,126,2,0.0,51,22,4,52,0.49
24993,26,1986,TOT,SF,1321,608,238,7,0.0,117,39,4,68,0.47700000000000004
24993,26,1986,MIL,SF,701,276,106,3,0.0,64,20,3,30,0.449
24993,26,1986,SAS,SF,620,332,132,4,0.0,53,19,1,38,0.502
24993,28,1988,LAL,SF,7,2,0,0,,0,0,0,0,
24993,29,1989,LAL,SF,176,60,25,2,0.0,15,8,2,16,0.391
25030,26,1982,SDC,C,10,2,1,0,2.0,2,0,0,0,0.5
25057,23,1982,MIL,C,1186,362,149,0,0.0,84,18,118,129,0.519
25057,24,1983,MIL,PF,1885,674,272,0,0.0,111,50,177,186,0.529
25057,25,1984,MIL,PF,1955,626,256,0,0.0,110,41,140,153,0.5
25057,26,1985,MIL,C,2091,798,322,0,0.0,127,49,167,183,0.5379999999999999
25057,27,1986,MIL,C,1812,796,318,0,0.0,101,49,142,161,0.551
25057,28,1987,SEA,C,2288,871,346,0,0.0,110,32,180,169,0.504
25057,29,1988,SEA,C,1812,461,172,1,1.0,58,27,140,90,0.504
25057,30,1989,SEA,C,1806,657,271,0,0.0,54,28,180,117,0.499
25057,31,1990,GSW,C,40,12,4,0,1.0,2,1,0,0,0.5
25057,32,1991,GSW,C,1552,491,188,0,1.0,93,20,90,106,0.478
25057,33,1992,GSW,C,293,102,44,0,0.0,14,5,16,20,0.557
25057,34,1993,GSW,C,174,45,19,0,0.0,5,0,9,18,0.452
25057,36,1995,MIL,C,776,167,66,0,1.0,12,16,57,38,0.493
25057,37,1996,TOT,C,735,143,51,0,1.0,19,6,42,48,0.486
25057,37,1996,MIL,C,88,10,4,0,0.0,4,0,3,4,0.444
25057,37,1996,BOS,C,647,133,47,0,1.0,15,6,39,44,0.49
25057,38,1997,BOS,C,516,87,32,0,0.0,13,8,14,30,0.41600000000000004
25057,39,1998,POR,C,44,6,3,0,0.0,1,1,1,2,0.375
25061,22,1982,GSW,SG,95,57,25,0,0.0,6,5,1,14,0.556
25061,23,1983,GSW,SG,1350,687,292,1,0.0,130,61,31,118,0.518
25061,24,1984,HOU,SG,2578,1458,607,3,0.0,321,102,44,245,0.516
25061,25,1985,HOU,SG,2128,1077,455,2,0.0,280,73,28,177,0.526
25061,26,1986,HOU,SG,2444,1386,589,3,0.0,300,102,24,194,0.529
25061,27,1987,HOU,SG,688,396,164,1,0.0,90,19,5,52,0.532
25061,30,1990,TOT,SG,123,69,30,0,0.0,11,3,0,20,0.5660000000000001
25061,30,1990,PHI,SG,10,2,1,0,0.0,0,0,0,4,0.5
25061,30,1990,HOU,SG,113,67,29,0,0.0,11,3,0,16,0.569
25065,22,1982,KCK,SF,1139,493,208,0,0.0,88,35,30,68,0.46399999999999997
25065,23,1983,KCK,SF,818,334,133,5,0.0,72,29,8,64,0.46
25065,24,1984,TOT,SF,137,48,18,1,0.0,14,3,5,11,0.442
25065,24,1984,KCK,SF,133,48,18,1,0.0,14,3,5,11,0.442
25065,24,1984,SDC,SF,4,0,0,0,,0,0,0,0,
25096,23,1982,ATL,SF,1516,554,210,0,0.0,47,40,20,112,0.434
25096,24,1983,ATL,SF,1171,441,170,0,0.0,71,41,10,89,0.47200000000000003
25096,25,1984,NYK,SF,65,35,12,0,0.0,3,1,0,6,0.4
25186,25,1982,PHO,SG,23,21,9,0,0.0,3,2,0,3,0.6920000000000001
25193,22,1982,GSW,PF,335,95,34,0,0.0,20,6,8,21,0.405
25193,23,1983,TOT,PF,505,163,58,0,0.0,24,8,11,40,0.46
25193,23,1983,GSW,PF,130,40,13,0,1.0,4,2,4,8,0.44799999999999995
25193,23,1983,POR,PF,375,123,45,0,0.0,20,6,7,32,0.46399999999999997
25193,24,1984,SDC,PF,611,208,85,0,0.0,37,14,2,49,0.431
25193,25,1985,HOU,PF,132,47,20,0,0.0,9,3,5,8,0.47600000000000003
25193,26,1986,HOU,PF,204,65,24,0,1.0,6,1,3,10,0.5710000000000001
25193,27,1987,MIL,PF,70,22,8,0,0.0,2,2,0,3,0.47100000000000003
25198,22,1982,LAL,SF,352,191,80,0,0.0,16,18,3,34,0.465
25198,23,1983,LAL,SF,381,156,68,1,0.0,26,11,5,27,0.423
25198,24,1984,LAL,SF,1425,757,345,2,0.0,81,49,6,111,0.594
25198,25,1985,LAL,SF,1170,774,307,22,0.0,71,39,7,81,0.5379999999999999
25198,26,1986,LAL,SF,1213,587,211,41,0.0,83,53,7,70,0.46299999999999997
25198,27,1987,ATL,SF,1420,788,225,86,0.0,149,61,2,104,0.45899999999999996
25198,28,1988,TOT,SF-SG,1003,575,170,53,0.0,71,52,6,65,0.42100000000000004
25198,28,1988,ATL,SG,117,51,17,5,0.0,13,5,0,7,0.423
25198,28,1988,SAC,SF,886,524,153,48,0.0,58,47,6,58,0.42100000000000004
25198,29,1989,NJN,SG,2027,1038,341,93,0.0,116,80,12,124,0.473
25198,30,1990,PHO,SF,280,102,34,8,0.0,16,8,1,14,0.483
25205,23,1982,LAL,SG,237,67,28,0,0.0,14,10,2,20,0.322
25205,25,1984,IND,SG,923,387,149,3,0.0,114,46,5,62,0.41
