year,round,pick,player,position,school,last name,first name
2006,1,5,Shelden Williams,PF,Duke,Williams,Shelden
2006,1,6,Brandon Roy,SG,Washington,Roy,Brandon
2006,1,7,Randy Foye,SG,Villanova,Foye,Randy
2006,1,8,Rudy Gay,SF,Connecticut,Gay,Rudy
2006,1,9,Patrick O'Bryant,C,Bradley,O'Bryant,Patrick
2006,1,10,Mouhamed Sene,C,Verviers-Pepinster,Sene,Mouhamed
2006,1,11,J. J. Redick,SG,Duke,Redick,J. J.
2006,1,12,Hilton Armstrong,C,Connecticut,Armstrong,Hilton
2006,1,13,Thabo Sefolosha,SG,Angelico Biella,Sefolosha,Thabo
2006,1,14,Ronnie Brewer,SG,Arkansas,Brewer,Ronnie
2006,1,15,Cedric Simmons,SF,NC State,Simmons,Cedric
2006,1,16,Rodney Carney,SF,Memphis,Carney,Rodney
2006,1,17,Shawne Williams,PF,Memphis,Williams,Shawne
2006,1,18,Oleksiy Pecherov,C,BC Kyiv,Pecherov,Oleksiy
2006,1,19,Quincy Douby,G,Rutgers,Douby,Quincy
2006,1,20,Renaldo Balkman,F,South Carolina,Balkman,Renaldo
2006,1,21,Rajon Rondo,PG,Kentucky,Rondo,Rajon
2006,1,22,Marcus Williams,G,Connecticut,Williams,Marcus
2006,1,23,Josh Boone,F,Connecticut,Boone,Josh
2006,1,24,Kyle Lowry,PG,Villanova,Lowry,Kyle
2006,1,25,Shannon Brown,G,Michigan State,Brown,Shannon
2006,1,26,Jordan Farmar,G,UCLA,Farmar,Jordan
2006,1,27,Sergio RodrÃ­guez,G,Adecco Estudiantes,RodrÃ­guez,Sergio
2006,1,28,Maurice Ager,G,Michigan State,Ager,Maurice
2006,1,29,Mardy Collins,G,Temple,Collins,Mardy
2006,1,30,Joel Freeland,F,Gran Canaria,Freeland,Joel
2006,2,31,James White,G,Cincinnati,White,James
2006,2,32,Steve Novak,SF,Marquette,Novak,Steve
2006,2,33,Solomon Jones,F,South Florida,Jones,Solomon
2006,2,34,Paul Davis,C,Michigan State,Davis,Paul
2006,2,35,P.J. Tucker,F,Texas,Tucker,P.J.
2006,2,36,Craig Smith,F,Boston College,Smith,Craig
2006,2,37,Bobby Jones,F,Washington,Jones,Bobby
2006,2,38,Kosta PeroviÄ‡,C,Partizan Belgrade,PeroviÄ‡,Kosta
2006,2,39,David Noel,F,North Carolina,Noel,David
2006,2,40,Denham Brown,G,Connecticut,Brown,Denham
2006,2,41,James Augustine,F,Illinois,Augustine,James
2006,2,42,Daniel Gibson,G,Texas,Gibson,Daniel
2006,2,43,Marcus Vinicius,F,Objetivo SÃ£o Carlos,Vinicius,Marcus
2006,2,44,Lior Eliyahu,F,Hapoel Galil Elyon,Eliyahu,Lior
2006,2,45,Alexander Johnson,F,Florida State,Johnson,Alexander
2006,2,46,Dee Brown,G,Illinois,Brown,Dee
2006,2,47,Paul Millsap,PF,Louisiana Tech,Millsap,Paul
2006,2,48,Vladimir Veremeenko,F,Dynamo St. Petersburg,Veremeenko,Vladimir
2006,2,49,Leon Powe,F,California,Powe,Leon
2006,2,50,Ryan Hollins,C,UCLA,Hollins,Ryan
2006,2,51,Cheikh Samb,C,WTC CornellÃ ,Samb,Cheikh
2006,2,52,Guillermo Diaz,G,Miami (FL),Diaz,Guillermo
2006,2,53,Yotam Halperin,G,Union Olimpija,Halperin,Yotam
2006,2,54,Hassan Adams,G,Arizona,Adams,Hassan
2006,2,55,Ejike Ugboaja,F,Union Bank Lagos,Ugboaja,Ejike
2006,2,56,Edin BavÄiÄ‡,F,ASA BH Telecom,BavÄiÄ‡,Edin
2006,2,57,Loukas Mavrokefalidis,C,PAOK,Mavrokefalidis,Loukas
2006,2,58,J. R. Pinnock,G,George Washington,Pinnock,J. R.
2006,2,59,Damir Markota,F,Cibona Zagreb,Markota,Damir
2006,2,60,Will Blalock,G,Iowa State,Blalock,Will
2007,1,1,Greg Oden,C,Ohio State,Oden,Greg
2007,1,2,Kevin Durant,SF,Texas,Durant,Kevin
2007,1,3,Al Horford,C,Florida,Horford,Al
2007,1,4,Mike Conley,PG,Ohio State,Conley,Mike
2007,1,5,Jeff Green,SF,Georgetown,Green,Jeff
2007,1,6,Jianlian Yi,PF,Guangdong Southern Tigers,Yi,Jianlian
2007,1,7,Corey Brewer,SF,Florida,Brewer,Corey
2007,1,8,Brandan Wright,PF,North Carolina,Wright,Brandan
2007,1,9,Joakim Noah,C,Florida,Noah,Joakim
2007,1,10,Spencer Hawes,C,Washington,Hawes,Spencer
2007,1,11,Acie Law,PG,Texas A&M,Law,Acie
2007,1,12,Thaddeus Young,PF,Georgia Tech,Young,Thaddeus
2007,1,13,Julian Wright,SF,Kansas,Wright,Julian
2007,1,14,Al Thornton,SF,Florida State,Thornton,Al
2007,1,15,Rodney Stuckey,SG,Eastern Washington,Stuckey,Rodney
2007,1,16,Nick Young,SG,USC,Young,Nick
2007,1,17,Sean Williams,PF,Boston College,Williams,Sean
2007,1,18,Marco Belinelli,SG,Fortitudo Bologna,Belinelli,Marco
2007,1,19,Javaris Crittenton,PG,Georgia Tech,Crittenton,Javaris
2007,1,20,Jason Smith,PF,Colorado State,Smith,Jason
2007,1,21,Daequan Cook,SG,Ohio State,Cook,Daequan
2007,1,22,Jared Dudley,SF,Boston College,Dudley,Jared
2007,1,23,Wilson Chandler,SF,DePaul,Chandler,Wilson
2007,1,24,Rudy FernÃ¡ndez,SG,Joventut Badalona,FernÃ¡ndez,Rudy
2007,1,25,Morris Almond,SG,Rice,Almond,Morris
2007,1,26,Aaron Brooks,PG,Oregon,Brooks,Aaron
2007,1,27,Arron Afflalo,SG,UCLA,Afflalo,Arron
2007,1,28,Tiago Splitter,C,TAU CerÃ¡mica,Splitter,Tiago
2007,1,29,Alando Tucker,SF,Wisconsin,Tucker,Alando
2007,1,30,Petteri Koponen,SG,Tapiolan Honka,Koponen,Petteri
2007,2,31,Carl Landry,PF,Purdue,Landry,Carl
2007,2,32,Gabe Pruitt,PG,USC,Pruitt,Gabe
2007,2,33,Marcus Williams,SF,Arizona,Williams,Marcus
2007,2,34,Nick Fazekas,PF,Nevada,Fazekas,Nick
2007,2,35,Glen Davis,PF,LSU,Davis,Glen
2007,2,36,Jermareo Davidson,PF,Alabama,Davidson,Jermareo
2007,2,37,Josh McRoberts,PF,Duke,McRoberts,Josh
2007,2,38,Kyrylo Fesenko,C,SK Cherkassy,Fesenko,Kyrylo
2007,2,39,Stanko BaraÄ‡,C,Å iroki Brijeg,BaraÄ‡,Stanko
2007,2,40,Yue Sun,SF,Beijing Olympians,Sun,Yue
2007,2,41,Chris Richard,PF,Florida,Richard,Chris
2007,2,42,Derrick Byars,SG,Vanderbilt,Byars,Derrick
2007,2,43,Adam Haluska,SG,Iowa,Haluska,Adam
2007,2,44,Reyshawn Terry,SF,North Carolina,Terry,Reyshawn
2007,2,45,Jared Jordan,PG,Marist,Jordan,Jared
2007,2,46,Stephane Lasme,PF,Massachusetts,Lasme,Stephane
2007,2,47,Dominic McGuire,SF,Fresno State,McGuire,Dominic
2007,2,48,Marc Gasol,C,Akasvayu Girona,Gasol,Marc
2007,2,49,Aaron Gray,C,Pittsburgh,Gray,Aaron
2007,2,50,Renaldas Seibutis,SG,Maroussi,Seibutis,Renaldas
2007,2,51,JamesOn Curry,PG,Oklahoma State,Curry,JamesOn
2007,2,52,Taurean Green,PG,Florida,Green,Taurean
2007,2,53,Demetris Nichols,SF,Syracuse,Nichols,Demetris
2007,2,54,Brad Newley,SF,Townsville Crocodiles,Newley,Brad
2007,2,55,Herbert Hill,PF,Providence,Hill,Herbert
2007,2,56,Ramon Sessions,PG,Nevada,Sessions,Ramon
2007,2,57,Sammy Mejia,SG,DePaul,Mejia,Sammy
2007,2,58,Giorgos Printezis,PF,Olympia Larissa,Printezis,Giorgos
2007,2,59,D.J. Strawberry,PG,Maryland,Strawberry,D.J.
2007,2,60,Milovan RakoviÄ‡,C,Mega Ishrana,RakoviÄ‡,Milovan
2008,1,1,Derrick Rose,PG,Memphis,Rose,Derrick
2008,1,2,Michael Beasley,PF,Kansas State,Beasley,Michael
2008,1,3,O. J. Mayo,SG,USC,Mayo,O. J.
2008,1,4,Russell Westbrook,PG,UCLA,Westbrook,Russell
2008,1,5,Kevin Love,PF,UCLA,Love,Kevin
2008,1,6,Danilo Gallinari,SF,Olimpia Milano,Gallinari,Danilo
2008,1,7,Eric Gordon,SG,Indiana,Gordon,Eric
2008,1,8,Joe Alexander,SF,West Virginia,Alexander,Joe
2008,1,9,D. J. Augustin,PG,Texas,Augustin,D. J.
2008,1,10,Brook Lopez,C,Stanford,Lopez,Brook
2008,1,11,Jerryd Bayless,PG,Arizona,Bayless,Jerryd
2008,1,12,Jason Thompson,PF,Rider,Thompson,Jason
2008,1,13,Brandon Rush,SG,Kansas,Rush,Brandon
2008,1,14,Anthony Randolph,PF,LSU,Randolph,Anthony
2008,1,15,Robin Lopez,C,Stanford,Lopez,Robin
2008,1,16,Marreese Speights,PF,Florida,Speights,Marreese
2008,1,17,Roy Hibbert,C,Georgetown,Hibbert,Roy
2008,1,18,Javale McGee,C,Nevada,McGee,Javale
2008,1,19,J. J. Hickson,PF,NC State,Hickson,J. J.
2008,1,20,Alexis AjinÃ§a,C,HyÃ¨res-Toulon,AjinÃ§a,Alexis
2008,1,21,Ryan Anderson,PF,California,Anderson,Ryan
2008,1,22,Courtney Lee,SG,Western Kentucky,Lee,Courtney
2008,1,23,Kosta Koufos,C,Ohio State,Koufos,Kosta
2008,1,24,Serge Ibaka,PF,L'Hospitalet,Ibaka,Serge
2008,1,25,Nicolas Batum,SF,Le Mans,Batum,Nicolas
2008,1,26,George Hill,PG,IUPUI,Hill,George
2008,1,27,Darrell Arthur,PF,Kansas,Arthur,Darrell
2008,1,28,DontÃ© Greene,SF,Syracuse,Greene,DontÃ©
2008,1,29,D. J. White,PF,Indiana,White,D. J.
2008,1,30,J. R. Giddens,SG,New Mexico,Giddens,J. R.
2008,2,31,Nikola PekoviÄ‡,C,Panathinaikos,PekoviÄ‡,Nikola
2008,2,32,Walter Sharpe,PF,UAB,Sharpe,Walter
2008,2,33,Joey Dorsey,PF,Memphis,Dorsey,Joey
2008,2,34,Mario Chalmers,PG,Kansas,Chalmers,Mario
2008,2,35,DeAndre Jordan,C,Texas A&M,Jordan,DeAndre
2008,2,36,Ã–mer AÅŸÄ±k,C,FenerbahÃ§e Ãœlker,AÅŸÄ±k,Ã–mer
2008,2,37,Luc Mbah a Moute,SF,UCLA,Mbah a Moute,Luc
2008,2,38,Kyle Weaver,SG,Washington State,Weaver,Kyle
2008,2,39,Sonny Weems,SG,Arkansas,Weems,Sonny
2008,2,40,Chris Douglas-Roberts,SG,Memphis,Douglas-Roberts,Chris
2008,2,41,Nathan Jawai,PF,Cairns Taipans,Jawai,Nathan
2008,2,42,Sean Singletary,PG,Virginia,Singletary,Sean
2008,2,43,"Jr., Patrick Ewing",SF,Georgetown,Ewing,"Jr., Patrick"
2008,2,44,Ante TomiÄ‡,C,KK Zagreb,TomiÄ‡,Ante
2008,2,45,Goran DragiÄ‡,PG,Union Olimpija,DragiÄ‡,Goran
2008,2,46,Trent Plaisted,PF,BYU,Plaisted,Trent
2008,2,47,Bill Walker,SG,Kansas State,Walker,Bill
2008,2,48,Malik Hairston,SG,Oregon,Hairston,Malik
2008,2,49,Richard Hendrix,PF,Alabama,Hendrix,Richard
2008,2,50,DeVon Hardin,C,California,Hardin,DeVon
2008,2,51,Shan Foster,SG,Vanderbilt,Foster,Shan
2008,2,52,Darnell Jackson,PF,Kansas,Jackson,Darnell
2008,2,53,Tadija DragiÄ‡eviÄ‡,PF,Red Star Belgrade,DragiÄ‡eviÄ‡,Tadija
2008,2,54,Maarty Leunen,PF,Oregon,Leunen,Maarty
2008,2,55,Mike Taylor,PG,Idaho Stampede,Taylor,Mike
2008,2,56,Sasha Kaun,C,Kansas,Kaun,Sasha
2008,2,57,James Gist,PF,Maryland,Gist,James
2008,2,58,Joe Crawford,SG,Kentucky,Crawford,Joe
2008,2,59,Deron Washington,SF,Virginia Tech,Washington,Deron
2008,2,60,Semih Erden,C,FenerbahÃ§e Ãœlker,Erden,Semih
2009,1,1,Blake Griffin,PF,Oklahoma,Griffin,Blake
2009,1,2,Hasheem Thabeet,C,Connecticut,Thabeet,Hasheem
2009,1,3,James Harden,SG,Arizona State,Harden,James
2009,1,4,Tyreke Evans,SG,Memphis,Evans,Tyreke
2009,1,5,Ricky Rubio,PG,DKV Joventut,Rubio,Ricky
2009,1,6,Jonny Flynn,PG,Syracuse,Flynn,Jonny
2009,1,7,Stephen Curry,PG,Davidson,Curry,Stephen
2009,1,8,Jordan Hill,PF,Arizona,Hill,Jordan
2009,1,9,DeMar DeRozan,SG,USC,DeRozan,DeMar
2009,1,10,Brandon Jennings,PG,Lottomatica Roma,Jennings,Brandon
2009,1,11,Terrence Williams,SG,Louisville,Williams,Terrence
2009,1,12,Gerald Henderson,SG,Duke,Henderson,Gerald
2009,1,13,Tyler Hansbrough,PF,North Carolina,Hansbrough,Tyler
2009,1,14,Earl Clark,SF,Louisville,Clark,Earl
2009,1,15,Austin Daye,SF,Gonzaga,Daye,Austin
2009,1,16,James Johnson,SF,Wake Forest,Johnson,James
2009,1,17,Jrue Holiday,PG,UCLA,Holiday,Jrue
2009,1,18,Ty Lawson,PG,North Carolina,Lawson,Ty
2009,1,19,Jeff Teague,PG,Wake Forest,Teague,Jeff
2009,1,20,Eric Maynor,PG,VCU,Maynor,Eric
2009,1,21,Darren Collison,PG,UCLA,Collison,Darren
2009,1,22,VÃ­ctor Claver,SF,Pamesa Valencia,Claver,VÃ­ctor
2009,1,23,Omri Casspi,SF,Maccabi Tel Aviv,Casspi,Omri
2009,1,24,Byron Mullens,C,Ohio State,Mullens,Byron
2009,1,25,Rodrigue Beaubois,PG,Cholet,Beaubois,Rodrigue
2009,1,26,Taj Gibson,PF,USC,Gibson,Taj
2009,1,27,DeMarre Carroll,SF,Missouri,Carroll,DeMarre
2009,1,28,Wayne Ellington,SG,North Carolina,Ellington,Wayne
2009,1,29,Toney Douglas,PG,Florida State,Douglas,Toney
2009,1,30,Christian Eyenga,SF,CB Prat,Eyenga,Christian
2009,2,31,Jeff Pendergraph,PF,Arizona State,Pendergraph,Jeff
2009,2,32,Jermaine Taylor,SG,Central Florida,Taylor,Jermaine
2009,2,33,Dante Cunningham,PF,Villanova,Cunningham,Dante
2009,2,34,Sergio Llull,PG,Real Madrid,Llull,Sergio
2009,2,35,DaJuan Summers,PF,Georgetown,Summers,DaJuan
2009,2,36,Sam Young,SF,Pittsburgh,Young,Sam
2009,2,37,DeJuan Blair,PF,Pittsburgh,Blair,DeJuan
2009,2,38,Jon Brockman,PF,Washington,Brockman,Jon
2009,2,39,Jonas Jerebko,PF,Angelico Biella,Jerebko,Jonas
2009,2,40,Derrick Brown,SF,Xavier,Brown,Derrick
2009,2,41,Jodie Meeks,SG,Kentucky,Meeks,Jodie
2009,2,42,Patrick Beverley,PG,Arkansas,Beverley,Patrick
2009,2,43,Marcus Thornton,SG,LSU,Thornton,Marcus
2009,2,44,Chase Budinger,SF,Arizona,Budinger,Chase
2009,2,45,Nick Calathes,PG,Florida,Calathes,Nick
2009,2,46,Danny Green,SF,North Carolina,Green,Danny
2009,2,47,Henk Norel,PF,DKV Joventut,Norel,Henk
2009,2,48,Taylor Griffin,SF,Oklahoma,Griffin,Taylor
2009,2,49,Sergiy Gladyr,SG,MBC Mykolaiv,Gladyr,Sergiy
2009,2,50,Goran Suton,C,Michigan State,Suton,Goran
2009,2,51,Jack McClinton,SG,Miami (FL),McClinton,Jack
2009,2,52,A. J. Price,PG,Connecticut,Price,A. J.
2009,2,53,Nando de Colo,PG,Cholet,de Colo,Nando
2009,2,54,Robert Vaden,SG,UAB,Vaden,Robert
2009,2,55,Patty Mills,PG,Saint Mary's,Mills,Patty
2009,2,56,Ahmad Nivins,PF,Saint Joseph's,Nivins,Ahmad
2009,2,57,Emir PreldÅ¾iÄ,PF,FenerbahÃ§e Ãœlker,PreldÅ¾iÄ,Emir
2009,2,58,Lester Hudson,PG,Tennessee-Martin,Hudson,Lester
2009,2,59,Chinemelu Elonu,PF,Texas A&M,Elonu,Chinemelu
2009,2,60,Robert Dozier,SF,Memphis,Dozier,Robert
2010,1,1,John Wall,PG,Kentucky,Wall,John
2010,1,2,Evan Turner,SF/SG,Ohio State,Turner,Evan
2010,1,3,Derrick Favors,PF,Georgia Tech,Favors,Derrick
2010,1,4,Wesley Johnson,SF,Syracuse,Johnson,Wesley
2010,1,5,DeMarcus Cousins,C,Kentucky,Cousins,DeMarcus
2010,1,6,Ekpe Udoh,C,Baylor,Udoh,Ekpe
2010,1,7,Greg Monroe,PF,Georgetown,Monroe,Greg
2010,1,8,Al-Farouq Aminu,SF,Wake Forest,Aminu,Al-Farouq
2010,1,9,Gordon Hayward,SF,Butler,Hayward,Gordon
2010,1,10,Paul George,SF,Fresno State,George,Paul
2010,1,11,Cole Aldrich,C,Kansas,Aldrich,Cole
2010,1,12,Xavier Henry,SG,Kansas,Henry,Xavier
2010,1,13,Ed Davis,PF,North Carolina,Davis,Ed
2010,1,14,Patrick Patterson,PF,Kentucky,Patterson,Patrick
2010,1,15,Larry Sanders,C,VCU,Sanders,Larry
2010,1,16,Luke Babbitt,SF,Nevada,Babbitt,Luke
2010,1,17,KÃ©vin SÃ©raphin,PF,Cholet Basket,SÃ©raphin,KÃ©vin
2010,1,18,Eric Bledsoe,PG,Kentucky,Bledsoe,Eric
2010,1,19,Avery Bradley,SG,Texas,Bradley,Avery
2010,1,20,James Anderson,SG,Oklahoma State,Anderson,James
2010,1,21,Craig Brackins,PF,Iowa State,Brackins,Craig
2010,1,22,Elliot Williams,SG,Memphis,Williams,Elliot
2010,1,23,Trevor Booker,PF,Clemson,Booker,Trevor
2010,1,24,Damion James,SF,Texas,James,Damion
2010,1,25,Dominique Jones,SG,USF,Jones,Dominique
2010,1,26,Quincy Pondexter,SF,Washington,Pondexter,Quincy
2010,1,27,Jordan Crawford,SG,Xavier,Crawford,Jordan
2010,1,28,Greivis VÃ¡squez,PG,Maryland,VÃ¡squez,Greivis
2010,1,29,Daniel Orton,C,Kentucky,Orton,Daniel
2010,1,30,Lazar Hayward,SF,Marquette,Hayward,Lazar
2010,2,31,Tibor PleiÃŸ,C,Brose Bamberg,PleiÃŸ,Tibor
2010,2,32,Dexter Pittman,C,Texas,Pittman,Dexter
2010,2,33,Hassan Whiteside,C,Marshall,Whiteside,Hassan
2010,2,34,Armon Johnson,PG,Nevada,Johnson,Armon
2010,2,35,Nemanja Bjelica,SF,Red Star Belgrade,Bjelica,Nemanja
2010,2,36,Terrico White,SG,Ole Miss,White,Terrico
2010,2,37,Darington Hobson,SF,New Mexico,Hobson,Darington
2010,2,38,Andy Rautins,SG,Syracuse,Rautins,Andy
2010,2,39,Landry Fields,SG,Stanford,Fields,Landry
2010,2,40,Lance Stephenson,SG,Cincinnati,Stephenson,Lance
2010,2,41,Jarvis Varnado,PF,Mississippi State,Varnado,Jarvis
2010,2,42,Da'Sean Butler,SF,West Virginia,Butler,Da'Sean
2010,2,43,Devin Ebanks,SF,West Virginia,Ebanks,Devin
2010,2,44,Jerome Jordan,C,Tulsa,Jordan,Jerome
2010,2,45,PaulÃ£o Prestes,C,CB Murcia,Prestes,PaulÃ£o
2010,2,46,Gani Lawal,PF,Georgia Tech,Lawal,Gani
2010,2,47,Tiny Gallon,PF,Oklahoma,Gallon,Tiny
2010,2,48,Latavious Williams,SF,Tulsa 66ers,Williams,Latavious
2010,2,49,Ryan Richards,PF,CB Gran Canaria,Richards,Ryan
2010,2,50,Solomon Alabi,C,Florida State,Alabi,Solomon
2010,2,51,Magnum Rolle,PF,Louisiana Tech,Rolle,Magnum
2010,2,52,Luke Harangody,PF,Notre Dame,Harangody,Luke
2010,2,53,Pape Sy,SF,STB Le Havre,Sy,Pape
2010,2,54,Willie Warren,PG,Oklahoma,Warren,Willie
2010,2,55,Jeremy Evans,PF,WKU,Evans,Jeremy
2010,2,56,Hamady Ndiaye,C,Rutgers,Ndiaye,Hamady
2010,2,57,Ryan Reid,PF,Florida State,Reid,Ryan
2010,2,58,Derrick Caracter,PF,UTEP,Caracter,Derrick
2010,2,59,Stanley Robinson,SF,Connecticut,Robinson,Stanley
2010,2,60,Dwayne Collins,PF,Miami,Collins,Dwayne
2011,1,1,Kyrie Irving,PG,Duke,Irving,Kyrie
2011,1,2,Derrick Williams,SF/PF,Arizona,Williams,Derrick
2011,1,3,Enes Kanter,C,Kentucky,Kanter,Enes
2011,1,4,Tristan Thompson,C/PF,Texas,Thompson,Tristan
2011,1,5,Jonas ValanÄiÅ«nas,C,Lietuvos rytas Vilnius,ValanÄiÅ«nas,Jonas
2011,1,6,Jan VeselÃ½,PF,Partizan Belgrade,VeselÃ½,Jan
2011,1,7,Bismack Biyombo,C,Fuenlabrada,Biyombo,Bismack
2011,1,8,Brandon Knight,PG,Kentucky,Knight,Brandon
2011,1,9,Kemba Walker,PG,Connecticut,Walker,Kemba
2011,1,10,Jimmer Fredette,PG/SG,BYU,Fredette,Jimmer
2011,1,11,Klay Thompson,SG,Washington State,Thompson,Klay
2011,1,12,Alec Burks,SG,Colorado,Burks,Alec
2011,1,13,Markieff Morris,PF,Kansas,Morris,Markieff
2011,1,14,Marcus Morris,PF/SF,Kansas,Morris,Marcus
2011,1,15,Kawhi Leonard,SF,San Diego State,Leonard,Kawhi
2011,1,16,Nikola VuÄeviÄ‡,C,USC,VuÄeviÄ‡,Nikola
2011,1,17,Iman Shumpert,SG,Georgia Tech,Shumpert,Iman
2011,1,18,Chris Singleton,SF,Florida State,Singleton,Chris
2011,1,19,Tobias Harris,SF,Tennessee,Harris,Tobias
2011,1,20,Donatas MotiejÅ«nas,PF,Benetton Treviso,MotiejÅ«nas,Donatas
2011,1,21,Nolan Smith,PG,Duke,Smith,Nolan
2011,1,22,Kenneth Faried,PF,Morehead State,Faried,Kenneth
2011,1,23,Nikola MirotiÄ‡,PF,Real Madrid,MirotiÄ‡,Nikola
2011,1,24,Reggie Jackson,PG,Boston College,Jackson,Reggie
2011,1,25,MarShon Brooks,SG,Providence,Brooks,MarShon
2011,1,26,Jordan Hamilton,SG,Texas,Hamilton,Jordan
2011,1,27,JaJuan Johnson,PF,Purdue,Johnson,JaJuan
2011,1,28,Norris Cole,PG,Cleveland State,Cole,Norris
2011,1,29,Cory Joseph,PG,Texas,Joseph,Cory
2011,1,30,Jimmy Butler,SG,Marquette,Butler,Jimmy
2011,2,31,Bojan BogdanoviÄ‡,SF/SG,Cibona Zagreb,BogdanoviÄ‡,Bojan
2011,2,32,Justin Harper,PF,Richmond,Harper,Justin
2011,2,33,Kyle Singler,SF,Duke,Singler,Kyle
2011,2,34,Shelvin Mack,PG,Butler,Mack,Shelvin
2011,2,35,Tyler Honeycutt,SF,UCLA,Honeycutt,Tyler
2011,2,36,Jordan Williams,PF,Maryland,Williams,Jordan
2011,2,37,Trey Thompkins,PF,Georgia,Thompkins,Trey
2011,2,38,Chandler Parsons,SF,Florida,Parsons,Chandler
2011,2,39,Jeremy Tyler,PF,Tokyo Apache,Tyler,Jeremy
2011,2,40,Jon Leuer,PF,Wisconsin,Leuer,Jon
2011,2,41,Darius Morris,PG,Michigan,Morris,Darius
2011,2,42,DÄvis BertÄns,SF,Union Olimpija,BertÄns,DÄvis
2011,2,43,Malcolm Lee,SG,UCLA,Lee,Malcolm
2011,2,44,Charles Jenkins,PG,Hofstra,Jenkins,Charles
2011,2,45,Josh Harrellson,C,Kentucky,Harrellson,Josh
2011,2,46,Andrew Goudelock,PG,College of Charleston,Goudelock,Andrew
2011,2,47,Travis Leslie,SG,Georgia,Leslie,Travis
2011,2,48,Keith Benson,C,Oakland,Benson,Keith
2011,2,49,Josh Selby,PG,Kansas,Selby,Josh
2011,2,50,Lavoy Allen,PF,Temple,Allen,Lavoy
2011,2,51,Jon Diebler,SG,Ohio State,Diebler,Jon
2011,2,52,Vernon Macklin,PF,Florida,Macklin,Vernon
2011,2,53,DeAndre Liggins,SG,Kentucky,Liggins,DeAndre
2011,2,54,Milan Macvan,PF,Maccabi Tel Aviv,Macvan,Milan
2011,2,55,Etwaun Moore,SG,Purdue,Moore,Etwaun
2011,2,56,Chukwudiebere Maduabum,PF,Bakersfield Jam,Maduabum,Chukwudiebere
2011,2,57,Tanguy Ngombo,SF,Al Rayyan,Ngombo,Tanguy
2011,2,58,Ater Majok,PF,Gold Coast Blaze,Majok,Ater
2011,2,59,ÃdÃ¡m Hanga,SG,Albacomp,Hanga,ÃdÃ¡m
2011,2,60,Isaiah Thomas,PG,Washington,Thomas,Isaiah
2012,1,1,Anthony Davis,PF/C,Kentucky,Davis,Anthony
2012,1,2,Michael Kidd-Gilchrist,SF,Kentucky,Kidd-Gilchrist,Michael
2012,1,3,Bradley Beal,SG,Florida,Beal,Bradley
2012,1,4,Dion Waiters,SG,Syracuse,Waiters,Dion
2012,1,5,Thomas Robinson,PF,Kansas,Robinson,Thomas
2012,1,6,Damian Lillard,PG,Weber St.,Lillard,Damian
2012,1,7,Harrison Barnes,SF,North Carolina,Barnes,Harrison
2012,1,8,Terrence Ross,SG,Washington,Ross,Terrence
2012,1,9,Andre Drummond,C,Connecticut,Drummond,Andre
2012,1,10,Austin Rivers,SG,Duke,Rivers,Austin
2012,1,11,Meyers Leonard,C,Illinois,Leonard,Meyers
2012,1,12,Jeremy Lamb,SG,Connecticut,Lamb,Jeremy
2012,1,13,Kendall Marshall,PG,North Carolina,Marshall,Kendall
2012,1,14,John Henson,PF,North Carolina,Henson,John
2012,1,15,Maurice Harkless,SF,St. John's,Harkless,Maurice
2012,1,16,Royce White,PF,Iowa St.,White,Royce
2012,1,17,Tyler Zeller,C,North Carolina,Zeller,Tyler
2012,1,18,Terrence Jones,PF,Kentucky,Jones,Terrence
2012,1,19,Andrew Nicholson,PF,St. Bonaventure,Nicholson,Andrew
2012,1,20,Evan Fournier,SG,Poitiers Basket,Fournier,Evan
2012,1,21,Jared Sullinger,PF,Ohio St.,Sullinger,Jared
2012,1,22,Fab Melo,C,Syracuse,Melo,Fab
2012,1,23,John Jenkins,SG,Vanderbilt,Jenkins,John
2012,1,24,Jared Cunningham,SG,Oregon St.,Cunningham,Jared
2012,1,25,Tony Wroten,PG,Washington,Wroten,Tony
2012,1,26,Miles Plumlee,C,Duke,Plumlee,Miles
2012,1,27,Arnett Moultrie,PF,Mississippi St.,Moultrie,Arnett
2012,1,28,Perry Jones III,SF,Baylor,Jones III,Perry
2012,1,29,Marquis Teague,PG,Kentucky,Teague,Marquis
2012,1,30,Festus Ezeli,C,Vanderbilt,Ezeli,Festus
2012,2,31,Jeffery Taylor,SF,Vanderbilt,Taylor,Jeffery
2012,2,32,TomÃ¡Å¡ SatoranskÃ½,SG,Banca CÃ­vica Sevilla,SatoranskÃ½,TomÃ¡Å¡
2012,2,33,Bernard James,C,Florida St.,James,Bernard
2012,2,34,Jae Crowder,SF,Marquette,Crowder,Jae
2012,2,35,Draymond Green,PF,Michigan St.,Green,Draymond
2012,2,36,Orlando Johnson,SG,UC Santa Barbara,Johnson,Orlando
2012,2,37,Quincy Acy,PF,Baylor,Acy,Quincy
2012,2,38,Quincy Miller,SF,Baylor,Miller,Quincy
2012,2,39,Khris Middleton,SF,Texas A&M,Middleton,Khris
2012,2,40,Will Barton,SG,Memphis,Barton,Will
2012,2,41,Tyshawn Taylor,PG,Kansas,Taylor,Tyshawn
2012,2,42,Doron Lamb,SG,Kentucky,Lamb,Doron
2012,2,43,Mike Scott,PF,Virginia,Scott,Mike
2012,2,44,Kim English,SG,Missouri,English,Kim
