year,round,pick,player,position,school,last name,first name
1987,1,9,Derrick McKey,SF/PF,Alabama,McKey,Derrick
1987,1,10,Horace Grant,PF/C,Clemson,Grant,Horace
1987,1,11,Reggie Miller,SG,UCLA,Miller,Reggie
1987,1,12,Muggsy Bogues,PG,Wake Forest,Bogues,Muggsy
1987,1,13,Joe Wolf,C,North Carolina,Wolf,Joe
1987,1,14,Tellis Frank,PF,WKU,Frank,Tellis
1987,1,15,Jos̩ Ortiz,PF,Oregon State,Ortiz,Jos̩
1987,1,16,Christian Welp,C,Washington,Welp,Christian
1987,1,17,Ronnie Murphy,SG,Jacksonville,Murphy,Ronnie
1987,1,18,Mark Jackson,PG,St. John's,Jackson,Mark
1987,1,19,Ken Norman,SF,Illinois,Norman,Ken
1987,1,20,Jim Farmer,SG,Alabama,Farmer,Jim
1987,1,21,Dallas Comegys,C,DePaul,Comegys,Dallas
1987,1,22,Reggie Lewis,SG,Northeastern,Lewis,Reggie
1987,1,23,Greg Cadillac Anderson,PF,Houston,Anderson,Greg Cadillac
1987,2,24,Freddie Banks,SG,UNLV,Banks,Freddie
1987,2,25,Ron Moore,C,West Virginia State,Moore,Ron
1987,2,26,Steve Alford,SG,Indiana,Alford,Steve
1987,2,27,Nate Blackwell,PG,Temple,Blackwell,Nate
1987,2,28,Rickie Winslow,SF,Houston,Winslow,Rickie
1987,2,29,Lester Fonville,C,Jackson State,Fonville,Lester
1987,2,30,Nikita Wilson,SF,LSU,Wilson,Nikita
1987,2,31,Andre Moore,PF,Loyola (IL),Moore,Andre
1987,2,32,Bob McCann,SF,Morehead State,McCann,Bob
1987,2,33,Tony White,PG,Tennessee,White,Tony
1987,2,34,Brian Rowsom,PF,UNC Wilmington,Rowsom,Brian
1987,2,35,Doug Lee,SG,Purdue,Lee,Doug
1987,2,36,Duane Washington,SG,Middle Tennessee,Washington,Duane
1987,2,37,Derrick Dowell,SF,USC,Dowell,Derrick
1987,2,38,Norris Coleman,SF,Kansas State,Coleman,Norris
1987,2,39,Vincent Askew,SG/SF,Memphis State,Askew,Vincent
1987,2,40,Winston Garland,PG,Southwest Missouri State,Garland,Winston
1987,2,41,Kannard Johnson,SF,WKU,Johnson,Kannard
1987,2,42,Terrance Bailey,SG,Wagner,Bailey,Terrance
1987,2,43,Andrew Kennedy,F,Virginia,Kennedy,Andrew
1987,2,44,Terry Coner,PG,Alabama,Coner,Terry
1987,2,45,Brad Lohaus,PF/C,Iowa,Lohaus,Brad
1987,2,46,Bruce Dalrymple,G,Georgia Tech,Dalrymple,Bruce
1988,1,1,Danny Manning,PF,Kansas,Manning,Danny
1988,1,2,Rik Smits,C,Marist,Smits,Rik
1988,1,3,Charles Smith,PF,Pittsburgh,Smith,Charles
1988,1,4,Chris Morris,SF,Auburn,Morris,Chris
1988,1,5,Mitch Richmond,SG,Kansas State,Richmond,Mitch
1988,1,6,Hersey Hawkins,SG,Bradley,Hawkins,Hersey
1988,1,7,Tim Perry,F,Temple,Perry,Tim
1988,1,8,Rex Chapman,SG,Kentucky,Chapman,Rex
1988,1,9,Rony Seikaly,C,Syracuse,Seikaly,Rony
1988,1,10,Willie Anderson,SG,Georgia,Anderson,Willie
1988,1,11,Will Perdue,C,Vanderbilt,Perdue,Will
1988,1,12,Harvey Grant,SF,Oklahoma,Grant,Harvey
1988,1,13,Jeff Grayer,PG,Iowa State,Grayer,Jeff
1988,1,14,Dan Majerle,SF,Central Michigan,Majerle,Dan
1988,1,15,Gary Grant,PG,Michigan,Grant,Gary
1988,1,16,Derrick Chievous,SG,Missouri,Chievous,Derrick
1988,1,17,Eric Leckner,C,Wyoming,Leckner,Eric
1988,1,18,Ricky Berry,SG,San Jose State,Berry,Ricky
1988,1,19,Rod Strickland,PG,DePaul,Strickland,Rod
1988,1,20,Kevin Edwards,SG,DePaul,Edwards,Kevin
1988,1,21,Mark Bryant,PF,Seton Hall,Bryant,Mark
1988,1,22,Randolph Keys,SF,Southern Miss,Keys,Randolph
1988,1,23,Jerome Lane,PF,Pittsburgh,Lane,Jerome
1988,1,24,Brian Shaw,SG,UC Santa Barbara,Shaw,Brian
1988,1,25,David Rivers,PG,Notre Dame,Rivers,David
1988,2,26,Rolando Ferreira,C,Houston,Ferreira,Rolando
1988,2,27,Shelton Jones,F,St. John's,Jones,Shelton
1988,2,28,Andrew Lang,C,Arkansas,Lang,Andrew
1988,2,29,Vinny Del Negro,SG,NC State,Del Negro,Vinny
1988,2,30,Fennis Dembo,PF,Wyoming,Dembo,Fennis
